id,name,address,status,zip,phone,fax,lat,lon,stars,seoname
12856,Ramada by Wyndham Jerusalem,6 Ze'ev Vilnay Street Ruppin Bridge at Herzl Blvd.,1,,+972 2 6599999,-6510854,31.78289986,35.19680023,5,ramada-jerusalem-12856
12858,Shalom,24 SHACHRIA S,1,,+972 2 6752222,-6411593,31.76740074,35.18460083,4,shalom-12858
12859,Leonardo Plaza,"47 KING GEORGE STREET , Jerusalem",1,,+972 2 6298666,-6230697,31.77639961,35.2181015,5,leonardo-plaza-12859
12860,Jerusalem Tower,23 HILLEL STREET,1,94581,+972 2 6209209,-6251197,31.78019905,35.21829987,3,jerusalem-tower-12860
12861,Rimonim Mary's Well Nazareth Hotel,"PAULUS VI ROAD, PO BOX 2767",1,,+972 4 6500000,-6499087,32.69950104,35.2928009,4,rimonim-marys-well-12861
12862,St Gabriel,16000 NAZARETH,1,,+972 4 6454448,-6553103,32.70849991,35.29729843,3,st-gabriel-12862
12863,Ness Amim Hotel,Nes Ammim Village,1,25225,+972 4 9950000,-9949130,32.96640015,35.12179947,3,ness-amim-12863
12864,Carmel,JABOTINSKY ST,1,,+972 9 8601111,-8600208,32.31790161,34.8470993,4,carmel-12864
12865,Galil Hotel,Nitsa Blvd 26,1,42269,+972 9 8624455,-8623493,32.34109879,34.85309982,3,galil-hotel-12865
12866,Grand Yahalom,15 GAD MACHNES ST,1,,+972 9 8624888,97298611556,32.32709885,34.84999847,3,grand-yahalom-12866
12867,King Solomon,18 HAMA APILIM STREET,1,,+972 9 8338444,-8610434,32.33470154,34.85150146,3,king-solomon-12867
12868,Palace,GAD MACHNESS STREET 33,1,,+972 9 8620222,-8619261,32.32659912,34.84930038,3,palace-12868
12869,Residence Hotel,GAD MACHNESS 18,1,,+972 9 8623777,-8622748,32.32770157,34.84949875,3,residence-hotel-12869
12873,Club Hotel,AHAD HA'AM STREET,1,,+972 4 6728000,-6721930,32.80179977,35.52590179,4,club-hotel-12873
12874,Dona Gracia,3 HAPRAHIM STREET,1,,+972 467 17176,-16670,32.79130173,35.53850174,4,dona-gracia-12874
12875,Eden,4 OHEL YA'AKOV STREET,1,,+972 4 6790070,-6721493,32.79439926,35.5320015,2,eden-12875
12877,Gai Beach,"Eliezer Kaplan 1, Tiberias",1,14209,-6699732,-6791808,32.779829,35.544918,4,gai-beach-12877
12878,Rimonim Galei Kinnereth,"1, ELIEZER KAPLAN STREET , TIBERIAS",1,,+972 4 6728888,-6789292,32.78390121,35.54380035,5,rimonim-galei-kinnereth-12878
12879,HaOn Holiday Village,HAON VILLAGE,1,,+972 4 6656555,-6655589,32.72430038,35.61970139,3,haon-holiday-village-12879
12880,Arbel,USSISKIN STREET,1,,+972 4 6724485,-6723516,32.79449844,35.52780151,3,arbel-12880
12883,Kinar Holiday Village,N E SEA OF GALILEE,1,,+972 4 6738888,-6737846,32.7942009,35.53499985,3,kinar-holiday-village-12883
12885,Moriah Gardens,198 R GRAND BARAK STREET,1,,+972 4 6700800,-6699833,32.79240036,35.54159927,4,moriah-gardens-12885
12887,Prima Galil,"ELHADEF 1 STREET , Tiberias",1,,+972 4 6791166,-8558971,32.79380035,35.5320015,4,prima-galil-12887
12888,Ramot Resort,SEA OF GALILEE,1,12948,+972 4 6732636,-6792622,32.85850143,35.66030121,4,ramot-resort-12888
12889,Royal Plaza,GANEI MENORAH BLV.,1,23546,+972 4 6700000,-6699033,32.76350021,35.5530014,4,royal-plaza-12889
12890,Scots,"ST.ANDREW'S GALILEE, GDUB BARAK STR. 1, TIBERIAS",1,,+972 4 6710710,-6709743,32.79449844,35.53710175,5,scots-12890
12891,C Hotels Tiberias,13 Zeidel Street,1,14222,+972 467 17888,-6720892,32.79740143,35.53210068,3,c-hotels-tiberias-12891
12892,Leonardo Plaza Hotel Tiberias,"1 Habanim Street, Tiberias",1,14103,+972 4 6713333,-6791352,32.78559875,35.54290009,5,leonardo-plaza-hotel-tiberias-12892
12893,Bali,P.O. BOX 3030,1,,+972 4 6676666,-6675676,32.78210068,35.51900101,3,bali-12893
12895,Avia Hotel Yehud,"4 HAHORESH STREET, Yehud",1,,97239109104,-5392350,32.03350067,34.87939835,3,avia-hotel-yehud-12895
12896,Leonardo Beach Tel Aviv,156 HAYARKON STREET,1,,+972 3 5207711,-5269036,32.08440018,34.76990128,4,leonardo-beach-tel-aviv-12896
12897,Carlton,10 ELIEZER PERI STREET,1,,+972 3 5201818,-5270074,32.08660126,34.76959991,5,carlton-12897
12898,Center Chic,"2 ZAMENHOFF STREET , Tel Aviv",1,,+972 352 66100,-6295782,32.07759857,34.77470016,4,center-chic-12898
12899,Cinema,1 ZAMINHOFF STREET 64373,1,,+972 3 5207100,-5206132,32.0780983,34.77489853,4,cinema-12899
12900,Prima City,9 MAPU STREET,1,,+972 3 5246253,-5245281,32.08069992,34.76950073,3,prima-city-12900
12901,Crowne Plaza Tel Aviv Beach,145 HAYARKON STREET,1,,+972 3 5201111,-5200153,32.08390045,34.76890182,5,crowne-plaza-tel-aviv-beach-12901
12902,Dan Panorama,"Prof. Yehezkel Kaufmann St 10, TEL AVIV",1,68012,+972 3 5190190,-5170808,32.06499863,34.76250076,4,dan-panorama-12902
12903,Dan Tel-Aviv,99 HAYARKON STREET,1,,+972 3 5202525,-5248786,32.07939911,34.76800156,5,dan-tel-aviv-12903
12904,David InterContinental,12 KAUFMAN STREET PO BOX 50155,1,,+972 3 7951111,-7950143,32.06549835,34.76380157,,david-intercontinental-12904
12905,Grand Beach,250 HAYARKON STREET,1,,+972 3 5433333,-5465620,32.09230042,34.77349854,4,grand-beach-12905
12906,Deborah,87 BEN-YEHUDA STREET,1,,+972 3 5278282,-5277335,32.08259964,34.77099991,3,deborah-12906
12907,Hilton Tel Aviv,"205 HAYARKON ST., INDEPENDENCE PARK",1,63405,+972 3 5202222,-5271742,32.08919907,34.77090073,0,hilton-tel-aviv-12907
12908,Imperial Hotel Tel Aviv,"66, HAYARKON STREET",1,63902,+972 3 5177002,-5177345,32.07569885,34.76689911,3,imperial-hotel-tel-aviv-12908
12909,Melody,220 HAYARKON STREET,1,,+972 354 25555,-5276781,32.08919907,34.77259827,3,melody-12909
12910,Leonardo Art Tel Aviv (ex Marina Hotel),167 HAYARKON STREET,1,,+972 3 5211777,-5210801,32.08549881,34.77009964,4,leonardo-art-tel-aviv-ex-marina-hotel-12910
12911,Hotel Metropolitan,11-15 TRUMPELDOR ST,1,63803,+972 3 5192727,-5171657,32.07590103,34.76750183,4,hotel-metropolitan-12911
12912,Olympia,164 HAYARKON STREET,1,,+972 3 5242184,-5246309,32.08480072,34.77009964,3,olympia-12912
12914,Renaissance Tel Aviv Hotel,121 HAYARKON STREET,1,,+972 3 5215555,-5214619,32.08309937,34.76860046,5,renaissance-tel-aviv-hotel-12914
12915,Sea Net,6 NES ZIONA STREET,1,,+972 3 5171655,-5170687,32.07460022,34.76710129,3,sea-net-12915
12916,Shalom hotel & Relax,216 HAYARKON STREET,1,,+972 3 5243277,-5234926,32.08929825,34.77230072,4,shalom-hotel-relax-12916
12917,Sheraton Tel Aviv,115 HAYARKON STREET,1,,+972 3 5211111,-5232353,32.08169937,34.76810074,5,sheraton-tel-aviv-12917
12918,Herods Tel Aviv,HAYARKON 155,1,,+972 3 5216666,97235271065,32.08549881,34.76959991,5,herods-tel-aviv-12918
12920,Tal,287 HAYARKON STREET,1,,+972 3 5425500,-5424532,32.09429932,34.77349854,4,tal-12920
12921,Artist Hotel - an Atlas Boutique Hotel (ex. Art Plus),BEN YEHUDA 35,1,63807,+972 3 5170941,-5169973,32.07720184,34.7682991,4,art-plus-12921
14702,Vital,14 WEIZMAN STREET,1,,+972 3 7770000,-7769051,32.0821991,34.78900146,4,vital-14702
16763,Dan Caesarea,Rothschild St 1,1,30600,+972 462 69111,97246269122,32.49850082,34.90380096,5,dan-caesarea-16763
17464,Rimonim Optima Ramat Gan,1 KRINTZI,1,,+972 367 54444,97236754455,32.07939911,34.81510162,4,rimonim-optima-ramat-gan-17464
17539,Rimonim Hermon,MOSHAV NEVE ATIV,1,,+972 469 85888,97246985666,33.26240158,35.74010086,4,rimonim-hermon-17539
17621,Ruth Rimonim Inn,P.O. BOX 1011,1,13110,+972 469 94666,97246920456,32.96210098,35.49620056,5,ruth-rimonim-inn-17621
17682,Daniel Hotel Herzliya,60 RAMAT YAM,1,,+972 995 28282,97299528288,32.17150116,34.80099869,5,daniel-hotel-herzliya-17682
17684,The Sharon Beach Resort & Spa Hotel,4 Ramat Yam st.,1,46748,+972 995 25777,97299568741,32.17850113,34.80319977,4,the-sharon-beach-resort-spa-hotel-17684
17685,Carmel Forest Spa Resort,P.O. BOX 90000,1,31900,+972 4-830-7888,+972 4-830-7860,32.70750046,35.01100159,5,carmel-forest-spa-resort-17685
18687,Inbar,38 YEHUDA STREET,1,,+972 899 73303,97289973322,31.25580025,35.20999908,4,inbar-18687
18753,Ramon Inn,1 EIN AKEN STREET,1,,+972 865 88822,97286588151,30.61149979,34.8003006,4,ramon-inn-18753
18799,Harlington Hotel Ashkelon (ex. Holiday Inn),"9 Yekutiel Adam Street, Ashkelon",1,78100,+972 867 48888,97286718822,31.68930054,34.56539917,4,holiday-inn-18799
19792,Club In Eilat,"Ha'arava Road, Almog Beach | Coral Beach | P.O. Box 1505",1,88000,+972 863 85555,97286385533,29.55599976,34.95140076,4,club-in-eilat-19792
21057,Prima Tel Aviv,"105 HAYARKON STREET 63432, Tel Aviv",1,63432,+972 352 06666,9727602244,32.08010101,34.7682991,4,prima-tel-aviv-21057
21083,Olive Tree Boutique Hotel,23 Saint George Street,1,97200,+972 254 10410,97225410447,31.78960037,35.22809982,4,olive-tree-boutique-hotel-21083
21104,Dan Panorama Haifa Hotel,107 HANASSI AVENUE,1,34632,+972 352 02552,97235480111,32.80709839,34.98699951,5,dan-panorama-haifa-hotel-21104
21106,Isrotel Tower Tel Aviv Hotel,78 HAYARKON STREET,1,63432,+972 351 13636,97235113666,32.0766983,34.76710129,5,isrotel-tower-tel-aviv-hotel-21106
21131,Kinneret Spa Hotel,NORTH ELIEZER KAPLAN SOUTHERN ENTRANCE T,1,14100,+046 723 444,46723443,32.78369904,35.54349899,3,kinneret-spa-hotel-21131
21187,Leonardo Club Dead Sea,"Ein Bokek 384, EIN BOKEK",1,84960,+972 866 89444,97286689400,31.16449928,35.36780167,4,leonardo-club-dead-sea-21187
21305,Prima Royale,3 MENDELE STREET,1,92147,+972 256 07111,97226544393,31.77230072,35.22050095,4,prima-royale-21305
21490,Oasis Spa Club Dead Sea,86930 EIN BOKEK,1,86930,+972 866 88000,97287604434,31.19540024,35.36130142,4,prima-spa-club-dead-sea-21490
21576,Prima Music Eilat,"PO BOX 1384, ALMOG BEACH (ex. PRIMA CARLTON)",1,88000,+972 863 88555,97287602280,29.5156002,34.92449951,4,prima-music-eilat-21576
21664,Isrotel Yam Suf Hotel,"CORAL BEACH, P.O. BOX 390, (ex. AMBASSADOR)",1,88000,+972 863 82222,97286382200,29.51309967,34.92309952,4,isrotel-yam-suf-hotel-21664
21667,Prima Palace,2 Pines Street,1,94262,+972 253 11811,9726544388,31.78560066,35.21509933,4,prima-palace-21667
28125,Leonardo Suites (formerly mercure suites),99 BEN GURION AVENUE corner 18 SHAI AGNON ST,1,59556,+972 355 50555,97235550550,32.01670074,34.73929977,4,leonardo-suites-formerly-mercure-suites-28125
28983,Armon Yam,95 BEN GURION STREET,1,,+972 355 22424,97235522429,32.01739883,34.73870087,3,armon-yam-28983
29829,Yefe Nof,MOAV STREET,1,,+972 899 57056,97289954053,31.26009941,35.23429871,3,yefe-nof-29829
30222,Montefiore Hotel,SHATZ STREET NO 7,1,,+972 262 21111,97226248420,31.78000069,35.21500015,3,montefiore-hotel-30222
30223,Mount Of Olives,53 MOUNT OF OLIVES,1,,+972 262 84877,97226264427,31.78050041,35.2262001,3,mount-of-olives-30223
30372,Golan,14 EHAD HA'AM STREET PO BOX 555,1,,+972 467 11555,97246721905,32.79880142,35.53120041,4,golan-30372
30382,Armon Hayarkon,268 HAYORKON STREET,1,,+972 360 55271,97236058485,32.09400177,34.77410126,2,armon-hayarkon-30382
30383,Golden Beach Tel Aviv,56 HERBERT SAMUEL PROMENADE STREET,1,,+972 351 62727,97235161176,32.07329941,34.76530075,3,golden-beach-tel-aviv-30383
30453,Club Hotel Eilat,ARAVA ROAD 444,1,,+972 863 61666,97286326113,29.55010033,34.9518013,4,club-hotel-eilat-30453
30573,Mount Carmel,103 DERECH HA YAM STREET,1,,+972 483 81414,97248381763,32.79999924,34.98329926,3,mount-carmel-30573
30734,Intercontinental Jacir Palace,"HEBTON ROAD , Bethlemhen",1,,+972 227 66777,97222766770,31.7057991,35.19520187,5,intercontinental-jacir-palace-30734
30735,Desert Inn,DAVID TUVIYAHU 2,1,,+972 864 24922,97286412772,31.29050064,34.7098999,3,desert-inn-30735
30893,"Crowne Plaza Tel Aviv City Center, an IHG Hotel",136 MENACHEM BEGIN ROAD AZRIELI CENTER 5,1,,+972 353 94486,97237602035,32.07429886,34.792099,5,crowne-plaza-city-center-30893
30895,Dalia Hotel,NORTH SHORE,1,,+972 863 34004,97286334072,29.5515995,34.95669937,3,dalia-hotel-30895
31638,Addar,10 STREET GEORGE'S STREET,1,97200,+972 262 63111,97226260791,31.78849983,35.22800064,4,addar-31638
33357,Palm Beach Acre,SEA SHORE 2192,1,,+972 498 77777,97249815820,32.91540146,35.08160019,4,rimonim-palm-beach-33357
33387,Eshel Hashomron,HASHOMRON JUNCTION,1,,+972 393 66841,97239364367,32.09999847,35.16999817,3,eshel-hashomron-33387
33616,Satori Hotel Haifa (Ex. Art Galery),61 HERZEL STREET,1,,+972 486 16161,97248616162,32.80799866,35.0007019,3,art-gallery-haifa-33616
33764,Madison (ex.Park Plaza),HAALIYA STREET 17,1,,+972 490 00248,97249923983,33.01050186,35.09019852,4,madison-expark-plaza-33764
33765,Sol Marine,HAALIYA STREET,1,,+972 499 50555,97249950556,33.01100159,35.09120178,4,sol-marine-33765
33975,Astoria Galilee,13 TH OHEL YAACOV STREET,1,,+972 467 22351,97246725108,32.79570007,35.53210068,3,astoria-galilee-33975
33977,BY14 TLV Hotel (ex Mercure Tel Aviv City Center),14 BEN YEHUDA STREET,1,,+972 362 88888,97236203203,32.07419968,34.76819992,4,by14-tlv-33977
34069,Eden Inn,DERECH AHARON POB 47,1,,+972 463 93939,97246393950,32.56280136,34.95780182,4,eden-inn-34069
34070,Havat Habaron,AHARON STREET,1,,+972 463 000333,97246300325,32.56069946,34.91650009,4,havat-habaron-34070
34071,Nahsholim,CARMEL COAST,1,,+972 463 99533,97246397614,32.55979919,34.91690063,3,nahsholim-34071
35885,Best Western Regency Suites,80 HAYARKON STREET,1,63432,+972 351 73939,97235163610,32.07709885,34.76720047,4,best-western-regency-suites-35885
46244,Kfar Maccabiah,"Perets Bernstein 7 st. P.O. Box 919, Ramat-Gan 7",1,52109,97236715715,97235744678,32.05590057,34.8268013,4,kfar-maccabiah-46244
46358,Tulip Inn Sea of Galilee,AMNON BAY SITA,1,14201,97246774444,97246722111,32.88710022,35.58539963,3,tulip-inn-sea-of-galilee-46358
46920,Savyonei Hagalil,Yesod HaMa'ala Junction 131,1,12105,46802323,46802525,33.04470062,35.57329941,3,savyonei-hagalil-46920
47056,Central Park,"Binyamin Park 10, P.O.Box 234",1,88000,-6387480,-6339651,29.55419922,34.95270157,4,central-park-47056
47061,Harmony,YOEL MOSHE SALOMON ST. 6,1,94633,26219999,26219998,31.78089905,35.21960068,4,harmony-47061
47064,"Sadot Hotel, Ben Gurion Airport","Assaf Harofeh Medical Center | P.O.Box 30000, Be'er Ya'akov",1,,972-8-9199100,89199101,31.9666996,34.84009933,4,sadot-hotel-ben-gurion-airport-47064
47244,Colony Haifa,BEN-GURION BLV 28,1,35023,97248513344,97248513366,32.8205986,34.99039841,4,colony-haifa-47244
47375,Holy Land,RASHID STREET 6,1,19700,26284841,26280265,31.7845993,35.23400116,3,holy-land-47375
47396,Shtarkman Erna,29 JABOTINSKY,1,22382,972 4 9920170,49928917,33.01139832,35.09180069,3,shtarkman-erna-47396
47416,Leonardo Boutique,17 Habarzel Street,1,69710,97235110066,97235110077,32.10800171,34.83810043,4,leonardo-boutique-47416
47575,Gilgal,NES ZIONA 7,1,63904,35111000,35167291,32.07479858,34.76720047,3,gilgal-47575
47592,The Savoy Sea Side,5 Geula St.,1,61049,97235140500,35140514,32.07249832,34.76520157,4,the-savoy-sea-side-47592
47637,Kibbutz Almog,LG. DEAD SEA ALMOG,1,,97229945201,97235607710,31.78879929,35.46170044,3,kibbutz-almog-47637
47650,Kibbutz Coutry Lodging Harel,LG JERUSALEM REGION HAREL,1,,97229918958,97235607710,31.81010056,34.94760132,2,kibbutz-coutry-lodging-harel-47650
47651,Kibbutz Manara Country Lodge,"Upper Galilee, Tiberias, Israel",1,,+972 4-690-8198,+972 3-560-7710,33.18330002,35.54999924,2,kibbutz-manara-country-lodge-47651
51576,Jerusalem Panorama,P.O. Box 19768,1,97400,+972 2 6284887,+972 2 6273699,31.77350044,35.24020004,2,jerusalem-panorama-51576
51920,Dizengoff Beach Apartments,283 Dizengoff Street,1,33610,+972 547000736,972 3 6040516,32.09560013,34.77619934,0,dizengoff-beach-apartments-51920
52059,Hotel Marom Haifa,51 Palmch Street,1,34558,+972 4 8255545,+972 4 8254358,32.7887001,34.9992981,3,hotel-marom-haifa-52059
53516,Americana,"NORTH BEACH, P.O. BOX 27",1,88000,-6302813,97286334174,29.55470085,34.96239853,3,americana-53516
53803,Ein Gedi Kibbutz,KIBBUTZ EIN GEDI,1,86980,97286594222,97286584328,31.45509911,35.38869858,3,ein-gedi-kibbutz-53803
54334,Ami Hotel,4 Am Israel Hai; (Hayarkon 152),2,63455,+97 235 24 9141,+97 235 231 151,32.08369827,34.770401,2,ami-hotel-54334
54714,Jerusalem Apartments,King David Street,2,,+972 777 088810,+972 035 298335,31.78190041,35.21689987,0,jerusalem-apartments-54714
54795,Caesar Premier Eilat,"NORTH BEACH, P.O.BOX 888 , EILAT",1,88107,+972 86 305 555,+972 86 332 624,29.55220032,34.95940018,4,caesar-premier-eilat-54795
56061,Sea Executive Suites,76 Herbert Samuel Street Tel Aviv 63433,1,,+972 3 795 3434,+972 3 517 2613,32.07559967,34.76599884,4,sea-executive-suites-56061
56062,Dortel Sol,Derech Ha Arava Eilat,1,,,,29.5571003,34.95550156,3,dortel-sol-56062
56063,Edomit,"Tourist Center, Pob 425 Eilat 88103",1,,+972 8 637 9511,+972 8 634 0654,29.55599976,34.95140076,3,edomit-56063
56065,Tzuba,Kibbutz Tzuba Kibbutz Tzuba,1,,+972 2 534 7000,,31.78510094,35.11819839,4,tzuba-56065
58259,MENDELI STREET HOTEL (ADIV),5 MENDELE STREET TEL AVIV 63907 ISRAEL,1,,972-3-5229141,972-3-5229144,32.07920074,34.76869965,2,mendeli-street-hotel-adiv-58259
60294,Kikar Zion,25 SHAMAI STREET JERUSALEM 94631 P.O.B 2525 ISRAEL,1,,972-2-6244644,972-2-6244136,31.78129959,35.21969986,3,kikar-zion-60294
60370,Lev Yerushalayim,KING GEORGE ST 18,1,91079,972-2-5300333,972-2-6232432,31.78170013,35.2159996,3,lev-yerushalayim-60370
61615,Shalom Jerusalem,SHACHRAI 25,1,16060,26752222,26412563,31.76729965,35.18640137,4,shalom-jerusalem-61615
63833,Moriah Plaza Eilat,P.o. Box 135 Eilat 88000,1,,+972 8 636 1111,+972 8 633 4158,29.55019951,34.95840073,4,moriah-plaza-eilat-63833
63918,U SPLASH RESORT (ex. U Sunrise Club Eilat),Kibbutz Eilot | P.O. Box 1057,1,88805,+972 86 30 5333,+972 86 30 5350,29.55509949,34.95360184,4,u-sunrise-club-eilat-63918
64323,Dan Gardens Ashkelon Hotel,56 Hatayassim Street,2,78100,+972 8 6771 777,+972 8 6710066,31.67679977,34.55989838,4,dan-gardens-ashkelon-hotel-64323
64336,Leonardo Club Tiberias,"Habanim Street 14201, Tiberias",1,14201,97246714432,97246722111,32.78699875,35.54159927,0,leonardo-club-tiberias-64336
65206,Eshel Hotel- Herzelia,3 Ramot Yam Street; Herzelia Pituach,2,1,+972 9 9568208,+972 9 9568797,32.16230011,34.84830093,2,eshel-hotel-herzelia-65206
66143,Bell Hotel,hayarkon 50,1,63301,97235174291,97235166687,32.07320023,34.7663002,3,bell-hotel-66143
